category,number,class,visualFamily,disposition,reason,source,cell
Armor,1,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,0
Armor,2,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,1
Armor,3,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,2
Armor,4,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,3
Armor,5,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,4
Armor,6,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,5
Armor,7,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,6
Armor,8,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,7
Armor,9,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,8
Armor,10,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,9
Armor,11,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,10
Armor,12,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,11
Armor,13,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,12
Armor,14,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,13
Armor,15,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,14
Armor,16,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,15
Armor,17,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,16
Armor,18,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,17
Armor,19,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,18
Armor,20,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,19
Armor,21,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,20
Armor,22,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,21
Armor,23,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,22
Armor,24,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,23
Armor,25,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,24
Armor,26,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,25
Armor,27,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,26
Armor,28,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,27
Armor,29,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,28
Armor,30,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,29
Armor,31,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,30
Armor,32,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,31
Armor,33,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,32
Armor,34,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,33
Armor,35,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,34
Armor,36,out of scope,equipment,excluded,"All reviewed: armour/weapon/shield silhouettes, no food or station set",references/art/kenmi/cute-fantasy/icons/Cute_Fantasy_Icons_Armor/16x16/Armor_all_16x16.png,35
